Number of individuals;Matching time
1;60.076747031002014
2;19.990032960999088
3;21.16722097499951
4;21.674700124000083
5;20.295047788000375
6;19.329396590001124
7;19.74601703299777
8;21.37718172699897
9;20.521672042999853
10;20.618146028999035
11;19.444041986997036
12;19.35993252800108
13;20.712162977000844
14;21.102458801000466
15;37.4033734859986
16;18.989532132000022
17;19.514128623999568
18;20.747190952999517
19;19.28953769399959
20;19.201978114000667
21;20.46304079499896
22;20.273378871002933
23;20.386106024001492
24;19.41092043199751
25;18.949231259000953
26;19.1808127889999
27;19.988040566000564
28;20.16147960699891
29;25.56374423899979
30;21.63826384600179
31;23.202049003000866
32;23.542005039998912
33;24.07817340800102
34;24.909069307999744
35;23.101483360998827
36;26.101641946999735
37;22.630049578998296
38;23.176956547998998
39;22.60666679899805
40;21.567339635999815
41;27.92149620700002
42;27.144804669002042
43;21.97477194399835
44;21.66139138699873
45;21.412033488002635
46;23.22589693899863
47;27.702546258999064
48;21.663299387000734
49;23.97404566199839
50;22.38075906299855
51;22.093455736998294
52;29.08577469100055
53;26.959837922000588
54;24.02499840999735
55;25.938597863001633
56;29.808750841999426
57;26.901254724001774
58;24.598250455997913
59;27.38377351300005
60;24.441175089999888
