Number of individuals;String cleaning time
1;0.0004108520006411709
2;1.6216999938478693e-05
3;1.3673001376446337e-05
4;1.105399860534817e-05
5;1.135300044552423e-05
6;1.0474999726284295e-05
7;1.0727999324444681e-05
8;9.989002137444913e-06
9;1.2167001841589808e-05
10;1.0913001460721716e-05
11;1.1881998943863437e-05
12;1.1578002158785239e-05
13;1.1970998457400128e-05
14;1.2153999705333263e-05
15;1.2185999366920441e-05
16;1.0851999832084402e-05
17;1.1610001820372418e-05
18;1.1140997230540961e-05
19;1.0645999282132834e-05
20;1.1849999282276258e-05
21;1.0615000064717606e-05
22;1.0804000339703634e-05
23;1.1118001566501334e-05
24;1.107299976865761e-05
25;1.3262997526908293e-05
26;1.0748997738119215e-05
27;1.1447002179920673e-05
28;1.1146999895572662e-05
29;1.1557000107131898e-05
30;1.1656000424409285e-05
31;1.0373998520663008e-05
32;9.89399995887652e-06
33;1.0533000022405759e-05
34;1.0399999155197293e-05
35;1.0386000212747604e-05
36;1.0662999557098374e-05
37;1.0379997547715902e-05
38;1.0114003089256585e-05
39;1.1585998436203226e-05
40;1.0886000382015482e-05
41;1.8547001673141494e-05
42;1.0314997780369595e-05
43;1.0923002264462411e-05
44;1.0199000826105475e-05
45;1.8250000721309334e-05
46;1.1045998689951375e-05
47;1.0805000783875585e-05
48;1.1025000276276842e-05
49;1.1080999684054404e-05
50;1.139000232797116e-05
51;1.1752999853342772e-05
52;1.0847001249203458e-05
53;1.0948002454824746e-05
54;1.006900129141286e-05
55;1.1005002306774259e-05
56;9.830000635702163e-06
57;1.064400203176774e-05
58;9.696999768493697e-06
59;1.0307001502951607e-05
60;1.1244999768678099e-05
61;1.1444997653597966e-05
62;1.060499926097691e-05
63;1.0966003173962235e-05
64;1.1132000508951023e-05
65;1.503100065747276e-05
66;1.2561002222355455e-05
67;1.0608000593492761e-05
68;1.1577998520806432e-05
69;1.0671999916667119e-05
70;1.0185001883655787e-05
71;1.0634001228027046e-05
72;1.0810999810928479e-05
73;1.0716001270338893e-05
74;1.062400042428635e-05
75;1.98560010176152e-05
76;9.398001566296443e-06
77;9.973002306651324e-06
78;9.272000170312822e-06
79;9.352999768452719e-06
80;9.102001058636233e-06
81;1.0261999705107883e-05
82;1.0015999578172341e-05
83;9.700001101009548e-06
84;9.347997547592968e-06
85;1.0126997949555516e-05
86;1.570599852129817e-05
87;9.057999704964459e-06
88;9.739000233821571e-06
89;9.780997061170638e-06
90;9.220999345416203e-06
91;1.020499985315837e-05
92;1.034800152410753e-05
93;9.488001524005085e-06
94;1.02420017356053e-05
95;9.843002771958709e-06
96;9.936997230397537e-06
97;9.765000868355855e-06
98;1.1324002116452903e-05
99;1.0413998097646981e-05
100;1.0703999578254297e-05
101;1.1036001524189487e-05
102;9.348997991764918e-06
103;1.0413001291453838e-05
104;1.1043000995414332e-05
105;9.052000677911565e-06
106;1.0092000593431294e-05
107;8.899998647393659e-06
108;8.926999726099893e-06
109;8.877999789547175e-06
110;8.951999916462228e-06
111;9.43999839364551e-06
112;9.14699921850115e-06
113;9.714000043459237e-06
114;1.0612999176373705e-05
115;8.880997484084219e-06
116;9.608000254957005e-06
117;9.643001249060035e-06
118;9.275001502828673e-06
119;1.0424002539366484e-05
120;9.379000402987003e-06
121;9.253999451175332e-06
122;8.948998583946377e-06
123;9.858998964773491e-06
124;1.5736000932520255e-05
125;9.498999133938923e-06
126;9.098999726120383e-06
127;9.552000847179443e-06
128;1.0648996976669878e-05
129;1.0580999514786527e-05
130;8.484999852953479e-06
131;8.864000847097486e-06
132;8.22399670141749e-06
133;8.183000318240374e-06
134;8.409002475673333e-06
135;8.399001671932638e-06
136;8.052997145568952e-06
137;8.78500213730149e-06
138;9.152998245554045e-06
139;8.17399995867163e-06
140;8.011997124413028e-06
141;8.066999725997448e-06
142;8.377999620279297e-06
143;9.424999007023871e-06
144;8.087998139671981e-06
145;8.44999885885045e-06
146;8.90500086825341e-06
147;8.128001354634762e-06
148;2.254799983347766e-05
149;1.0269999620504677e-05
150;1.0274001397192478e-05
151;8.480998076265678e-06
152;8.47400224301964e-06
153;9.350998880108818e-06
154;8.257000445155427e-06
155;9.572002454660833e-06
156;9.360999683849514e-06
157;8.644998160889372e-06
158;7.980001100804657e-06
159;8.457998774247244e-06
160;8.826002158457413e-06
161;8.915998478187248e-06
162;8.797000191407278e-06
163;8.497998351231217e-06
164;8.497001545038074e-06
165;8.097998943412676e-06
166;8.246002835221589e-06
167;8.35300306789577e-06
168;8.905997674446553e-06
169;8.29399868962355e-06
170;1.5327997971326113e-05
171;8.933002391131595e-06
172;8.397000783588737e-06
173;7.968999852892011e-06
174;9.191000572172925e-06
175;8.271999831777066e-06
176;9.3039998319e-06
177;8.424998668488115e-06
178;9.089999366551638e-06
179;9.193998266709968e-06
180;7.948001439217478e-06
181;8.736999006941915e-06
182;9.297000360675156e-06
183;8.245999197242782e-06
184;8.210001396946609e-06
185;8.92400203156285e-06
186;8.388000424019992e-06
187;8.648999937577173e-06
188;8.86799898580648e-06
189;8.162998710758984e-06
190;1.006800084724091e-05
191;8.856000931700692e-06
192;8.654002158436924e-06
193;9.187999239657074e-06
194;9.113002306548879e-06
195;8.582999726058915e-06
196;8.78300124895759e-06
197;9.138999303104356e-06
198;8.997998520499095e-06
199;8.515002264175564e-06
200;8.568000339437276e-06
201;8.917002560338005e-06
202;8.953997166827321e-06
203;9.077000868273899e-06
204;9.133000276051462e-06
205;8.825998520478606e-06
206;8.301998605020344e-06
207;8.945000445237383e-06
208;8.955998055171221e-06
209;9.134000720223412e-06
210;8.153001544997096e-06
211;8.31600118544884e-06
212;9.035000402946025e-06
213;1.5060002624522895e-05
214;9.207000402966514e-06
215;8.73099997988902e-06
216;1.4723998901899904e-05
217;8.117000106722116e-06
218;8.933999197324738e-06
219;9.89299951470457e-06
220;9.391002095071599e-06
221;8.59099964145571e-06
222;8.838000212563202e-06
223;8.957998943515122e-06
224;8.495997462887317e-06
225;8.047001756494865e-06
226;8.136001270031556e-06
227;9.02700048754923e-06
228;9.257000783691183e-06
229;8.855997293721884e-06
230;9.720999514684081e-06
231;8.842001989251003e-06
232;8.31600118544884e-06
233;8.185998012777418e-06
234;8.896000508684665e-06
235;1.730599979055114e-05
236;1.6915997548494488e-05
237;1.4635999832535163e-05
238;1.2489999789977446e-05
239;1.4234999980544671e-05
240;1.221499769599177e-05
241;1.2311000318732113e-05
242;1.352099934592843e-05
243;1.3349999790079892e-05
244;1.1928997992072254e-05
245;1.2562002666527405e-05
246;1.1419000657042488e-05
247;1.2558000889839604e-05
248;1.152400000137277e-05
249;1.2327000149525702e-05
250;1.227100074174814e-05
251;1.227200118592009e-05
252;1.3091997971059754e-05
253;1.2571999832289293e-05
254;1.2509000953286886e-05
255;1.3876000593882054e-05
256;1.2887998309452087e-05
257;1.3382003089645877e-05
258;2.0464998669922352e-05
259;1.339899972663261e-05
260;1.2569998943945393e-05
261;1.239300036104396e-05
262;1.2160999176558107e-05
263;1.2253996828803793e-05
264;1.2589996913447976e-05
265;1.2204000086057931e-05
266;1.2223001249367371e-05
267;1.2046002666465938e-05
268;1.2600998161360621e-05
269;1.180199978989549e-05
270;1.2122000043746084e-05
271;1.2345997674856335e-05
272;1.3420998584479094e-05
273;1.207899913424626e-05
274;1.2660999345825985e-05
275;1.1897998774657026e-05
276;1.1955999070778489e-05
277;1.2532997061498463e-05
278;2.1100000594742596e-05
279;1.1734999134205282e-05
280;1.0195999493589625e-05
281;1.0877000022446737e-05
282;1.0701001883717254e-05
283;1.1402000382076949e-05
284;1.1400999937904999e-05
285;1.1594001989578828e-05
286;1.1713000276358798e-05
287;1.1044001439586282e-05
288;1.0342002497054636e-05
289;1.0350999218644574e-05
290;1.0879000910790637e-05
291;1.1464999261079356e-05
292;1.1127998732263222e-05
293;1.0495998139958829e-05
294;1.0438998288009316e-05
295;1.067600169335492e-05
296;1.0443000064697117e-05
297;1.032399813993834e-05
298;1.0997999197570607e-05
299;1.0925999958999455e-05
300;1.09370012069121e-05
