Number of individuals;Matching time
1;32.30613593700036
2;21.835972439002944
3;23.26873865699963
4;23.76277383300112
5;24.390364988001238
6;24.076305549999233
7;23.100980879000417
8;23.99904486500236
9;22.041374103002454
10;23.376541105000797
11;21.417805450000742
12;27.66769133300113
13;20.997986231999676
14;23.368940781001584
15;21.544015078001394
16;21.771034723999037
17;21.4413739920019
18;22.67364870399979
19;20.965698565996718
20;21.057155014001182
21;21.579291512000054
22;22.489622150998912
23;22.155554905999452
24;22.112661645001936
25;21.406206220999593
26;21.44561023099959
27;21.75966618000166
28;22.325583751000522
29;21.603542740002013
30;23.171984091000922
31;21.536729221003043
32;21.565092757002276
33;21.55174814199927
34;21.313291381000454
35;27.912133805999474
36;19.55653989699931
37;19.250054321997595
38;24.029474808998202
39;19.23947799599773
40;19.234950531001232
41;19.342435926999315
42;19.361732809000387
43;20.343301094999333
44;19.077573730999575
45;19.13517559400134
46;19.53019686600237
47;18.886685666999256
48;19.268925636999484
49;21.366493454999727
50;20.89169617800144
51;18.71219694300089
52;18.781921267000143
53;27.920460475001164
54;18.863166350001848
55;23.451633673998003
56;20.290825948999554
57;19.674913251998078
58;24.74358724600097
59;25.56159926499822
60;18.58885104199726
61;20.737500223996904
62;23.177909504996933
63;23.62642151300315
64;24.984546938001586
65;21.54934402700019
66;19.078662395997526
67;20.807731518001674
68;27.90941413100154
69;22.435725906001608
70;23.265536278999207
71;19.682748836999963
