Number of individuals;String cleaning time
1;0.00032244699832517654
2;1.339899972663261e-05
3;1.1385996913304552e-05
4;9.379000402987003e-06
5;9.901999874273315e-06
6;8.966002496890724e-06
7;9.641000360716134e-06
8;8.846000127959996e-06
9;1.0912001016549766e-05
10;9.58099917625077e-06
11;1.0439998732181266e-05
12;1.0108000424224883e-05
13;1.018799957819283e-05
14;1.0235999070573598e-05
15;1.0233998182229698e-05
16;9.73199712461792e-06
17;1.0193998605245724e-05
18;9.704999683890492e-06
19;9.389001206727698e-06
20;1.0235999070573598e-05
21;9.242998203262687e-06
22;9.519000741420314e-06
23;9.639999916544184e-06
24;1.0313000530004501e-05
25;1.1553001968422905e-05
26;9.553998097544536e-06
27;1.0666997695807368e-05
28;9.819999831961468e-06
29;1.0061001376016065e-05
30;1.0257001122226939e-05
31;9.103998309001327e-06
32;8.563001756556332e-06
33;9.192997822538018e-06
34;8.958002581493929e-06
35;9.309998858952895e-06
36;9.908002539305016e-06
37;9.405001037521288e-06
38;8.836999768391252e-06
39;1.0038998880190775e-05
40;9.553001291351393e-06
41;1.079499998013489e-05
42;8.840001100907102e-06
43;9.561001206748188e-06
44;8.803999662632123e-06
45;9.339997632196173e-06
46;9.47900116443634e-06
47;1.0029001714428887e-05
48;9.800998668652028e-06
49;9.637999028200284e-06
50;9.941999451257288e-06
51;1.0091000149259344e-05
52;8.972001523943618e-06
53;1.0146002750843763e-05
54;9.013998351292685e-06
55;1.0080002539325505e-05
56;9.187002433463931e-06
57;9.290000889450312e-06
58;8.521998097421601e-06
59;9.204999514622614e-06
60;1.0070998541777954e-05
61;9.931998647516593e-06
62;9.05900014913641e-06
63;9.4600000011269e-06
64;9.506999049335718e-06
65;1.050400169333443e-05
66;1.0091000149259344e-05
67;8.880000677891076e-06
68;9.914998372551054e-06
69;8.13389997347258e-05
70;1.739200160955079e-05
71;1.2307002180023119e-05
72;1.1598000128287822e-05
73;1.1204996553715318e-05
74;1.0963998647639528e-05
75;1.0763997124740854e-05
76;1.0117000783793628e-05
77;1.0602001566439867e-05
78;9.530998795526102e-06
79;9.825998859014362e-06
80;9.177001629723236e-06
81;9.865001629805192e-06
82;9.968000085791573e-06
83;9.89299951470457e-06
84;9.221999789588153e-06
85;1.0550000297371298e-05
86;9.717001375975087e-06
87;8.78500213730149e-06
88;9.766001312527806e-06
89;9.546001820126548e-06
90;8.84999826666899e-06
91;9.905001206789166e-06
92;1.0054998710984364e-05
93;9.447001502849162e-06
94;1.0310999641660601e-05
95;9.447001502849162e-06
96;9.586998203303665e-06
97;9.031999070430174e-06
98;1.1182000889675692e-05
99;1.003400029730983e-05
100;9.933999535860494e-06
101;1.0903000656981021e-05
102;9.037998097483069e-06
103;1.0069998097606003e-05
104;1.0711999493651092e-05
105;9.865001629805192e-06
106;1.0248000762658194e-05
107;9.89399995887652e-06
108;8.702998457010835e-06
109;8.817998605081812e-06
110;8.933999197324738e-06
111;9.057002898771316e-06
112;8.895000064512715e-06
113;9.242001397069544e-06
114;1.0236999514745548e-05
115;8.672002877574414e-06
116;9.933999535860494e-06
117;8.86999987415038e-06
118;9.424999007023871e-06
119;9.817998943617567e-06
120;9.272000170312822e-06
121;9.157000022241846e-06
122;8.88299837242812e-06
123;1.0216001101071015e-05
124;9.418999979970977e-06
125;9.372000931762159e-06
126;9.239000064553693e-06
127;9.070998203242198e-06
128;1.017199974739924e-05
129;9.57999873207882e-06
130;9.294999472331256e-06
131;9.731000318424776e-06
132;9.020001016324386e-06
133;9.16499993763864e-06
134;9.268998837796971e-06
135;9.172999853035435e-06
136;8.717001037439331e-06
137;9.506999049335718e-06
138;1.006499951472506e-05
139;9.072999091586098e-06
140;8.834998880047351e-06
141;8.740000339457765e-06
142;9.18200021260418e-06
143;1.037900074152276e-05
144;8.852999599184841e-06
145;9.733001206768677e-06
