Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers
0,00	0	0	25654
12,85	0	0,00E+00	25654
0,60	1,42E-01	7,70E-02	25742
0,77	5,36E-02	7,49E-02	25801
0,94	5,23E-02	7,41E-02	25860
1,11	5,52E-02	8,04E-02	25920
1,29	5,34E-02	8,04E-02	25980
1,44	5,87E-02	5,76E-02	26024
1,62	5,81E-02	7,19E-02	26087
1,80	6,78E-02	7,32E-02	26143
1,99	6,41E-02	7,02E-02	26206
2,17	5,43E-02	8,72E-02	26271
2,34	6,12E-02	6,82E-02	26331
2,54	6,35E-02	7,51E-02	26387
2,75	7,23E-02	8,34E-02	26447
2,93	5,93E-02	7,69E-02	26506
3,12	8,19E-02	5,71E-02	26547
3,29	7,07E-02	5,50E-02	26592
3,47	5,67E-02	7,96E-02	26652
3,65	7,42E-02	5,54E-02	26700
3,86	7,96E-02	7,27E-02	26759
4,05	7,09E-02	7,64E-02	26818
4,23	5,38E-02	7,50E-02	26874
4,40	5,39E-02	8,32E-02	26934
4,60	6,79E-02	8,29E-02	26994
4,79	6,02E-02	8,33E-02	27053
4,97	5,86E-02	8,01E-02	27112
5,14	7,20E-02	6,02E-02	27156
5,35	7,99E-02	7,81E-02	27215
5,55	7,57E-02	7,43E-02	27274
5,74	7,70E-02	6,62E-02	27314
5,91	6,37E-02	6,52E-02	27362
6,11	5,92E-02	9,30E-02	27418
6,28	5,20E-02	8,05E-02	27481
6,44	5,34E-02	5,72E-02	27521
6,60	5,88E-02	6,27E-02	27566
6,79	6,77E-02	7,64E-02	27629
6,98	9,31E-02	5,38E-02	27674
7,19	9,39E-02	5,61E-02	27719
7,35	5,44E-02	6,38E-02	27759
7,53	6,33E-02	7,23E-02	27815
7,71	5,54E-02	7,90E-02	27874
7,91	8,44E-02	7,96E-02	27938
8,16	9,13E-02	9,18E-02	28001
8,36	8,63E-02	6,05E-02	28049
8,58	9,51E-02	7,32E-02	28112
8,76	5,45E-02	7,89E-02	28175
8,93	7,89E-02	5,67E-02	28219
9,11	5,74E-02	7,39E-02	28275
9,30	9,01E-02	5,70E-02	28323
9,54	9,32E-02	8,49E-02	28379
9,76	8,59E-02	8,11E-02	28435
9,99	8,11E-02	8,42E-02	28498
10,16	5,55E-02	5,90E-02	28542
10,33	6,53E-02	6,02E-02	28590
10,52	6,99E-02	7,72E-02	28653
10,72	7,47E-02	7,84E-02	28709
10,88	5,62E-02	5,84E-02	28753
11,05	5,99E-02	6,99E-02	28812
11,21	5,29E-02	7,10E-02	28871
11,38	5,30E-02	7,42E-02	28931
11,54	5,34E-02	5,83E-02	28979
11,72	8,04E-02	5,65E-02	29019
