Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers
0	0,00,E+00	0,00,E+00	1118
35,77317616	0,00,E+00	0,00,E+00	1118
1,862285198	3,52,E-01	9,55,E-02	1286
2,110437202	1,15,E-01	7,77,E-02	1387
2,333040128	8,56,E-02	8,35,E-02	1470
2,558421978	9,30,E-02	8,47,E-02	1543
2,789769661	8,88,E-02	9,10,E-02	1618
3,038555923	9,39,E-02	9,72,E-02	1690
3,266600043	9,18,E-02	7,99,E-02	1767
3,489961731	8,63,E-02	8,65,E-02	1835
3,705532345	8,96,E-02	6,06,E-02	1890
3,903237499	7,61,E-02	6,51,E-02	1942
4,10352262	7,31,E-02	8,30,E-02	2015
4,3745312	9,54,E-02	8,28,E-02	2084
4,614829751	1,15,E-01	7,26,E-02	2136
4,838517338	8,76,E-02	8,58,E-02	2207
5,06483408	8,51,E-02	8,85,E-02	2276
5,311975314	1,05,E-01	8,49,E-02	2339
5,518006478	9,62,E-02	6,25,E-02	2391
5,759547467	9,68,E-02	9,34,E-02	2459
5,984220893	8,99,E-02	8,84,E-02	2527
6,185892854	8,51,E-02	6,14,E-02	2579
6,384106842	9,06,E-02	6,27,E-02	2631
6,583133624	9,22,E-02	5,80,E-02	2683
6,718995076	3,75,E-02	4,68,E-02	2735
6,835028013	4,41,E-02	4,71,E-02	2787
6,955213681	3,74,E-02	6,23,E-02	2849
7,072449339	3,05,E-02	6,50,E-02	2917
7,211373027	3,17,E-02	8,55,E-02	2985
7,313098856	3,10,E-02	4,66,E-02	3033
7,427205342	3,18,E-02	6,23,E-02	3101
7,553552428	3,54,E-02	6,78,E-02	3171
7,651083245	2,89,E-02	4,90,E-02	3219
7,787830307	5,29,E-02	4,78,E-02	3271
7,935691951	5,56,E-02	5,90,E-02	3320
8,078912252	5,40,E-02	5,50,E-02	3368
8,300568766	9,30,E-02	8,62,E-02	3437
8,550712521	9,08,E-02	1,04,E-01	3504
8,773755202	8,72,E-02	8,55,E-02	3572
8,981655762	9,14,E-02	6,56,E-02	3624
9,185616856	8,44,E-02	5,92,E-02	3672
9,395271188	8,94,E-02	7,01,E-02	3724
9,630481805	9,36,E-02	8,10,E-02	3787
9,858674159	9,54,E-02	8,22,E-02	3854
10,04368436	8,17,E-02	5,60,E-02	3902
10,28087943	1,00,E-01	8,07,E-02	3969
10,52308512	9,65,E-02	8,91,E-02	4033
10,74559573	9,08,E-02	7,61,E-02	4096
10,87379332	3,84,E-02	6,28,E-02	4163
10,98114812	3,44,E-02	4,87,E-02	4211
11,08726053	3,48,E-02	4,74,E-02	4259
11,20079244	4,09,E-02	4,85,E-02	4307
11,30302391	3,23,E-02	4,69,E-02	4359
11,40174233	3,41,E-02	4,34,E-02	4407
11,50249724	3,19,E-02	4,83,E-02	4459
11,60438409	3,42,E-02	4,53,E-02	4507
11,7173342	3,03,E-02	6,36,E-02	4576
11,81820506	3,04,E-02	5,00,E-02	4624
11,92213016	3,59,E-02	4,57,E-02	4673
12,04670571	2,98,E-02	7,01,E-02	4741
12,19215868	5,05,E-02	7,24,E-02	4805
12,33873079	4,63,E-02	7,76,E-02	4872
12,47488558	4,87,E-02	5,74,E-02	4921
12,61532982	3,44,E-02	8,11,E-02	4984
12,74826735	4,32,E-02	6,32,E-02	5036
12,85948789	3,60,E-02	4,91,E-02	5088
12,96866458	3,10,E-02	5,22,E-02	5136
13,06761118	3,30,E-02	4,32,E-02	5188
13,17239019	3,19,E-02	4,77,E-02	5236
13,30296741	3,70,E-02	7,14,E-02	5304
13,42241215	3,46,E-02	6,25,E-02	5368
13,55335503	3,67,E-02	7,07,E-02	5436
13,66169214	3,32,E-02	5,13,E-02	5488
13,76631285	3,23,E-02	5,01,E-02	5536
13,89052022	3,23,E-02	6,86,E-02	5599
13,99831822	3,33,E-02	5,05,E-02	5651
14,10790569	3,24,E-02	5,47,E-02	5703
14,23639859	3,44,E-02	7,02,E-02	5771
14,35490062	3,23,E-02	6,62,E-02	5838
14,46616142	3,43,E-02	5,00,E-02	5886
14,58081871	4,15,E-02	5,12,E-02	5934
14,68934377	3,55,E-02	4,69,E-02	5982
14,80351211	3,88,E-02	5,15,E-02	6034
14,91300819	3,29,E-02	4,88,E-02	6082
15,04143262	3,53,E-02	7,25,E-02	6141
15,16083957	4,06,E-02	5,07,E-02	6189
15,27134916	3,26,E-02	5,44,E-02	6237
15,37360319	2,76,E-02	5,02,E-02	6285
15,48926636	3,85,E-02	5,21,E-02	6333
15,60580023	3,62,E-02	5,79,E-02	6381
15,71809017	3,54,E-02	5,03,E-02	6433
15,83927684	4,41,E-02	5,07,E-02	6481
15,94350264	3,21,E-02	4,73,E-02	6529
16,06875332	5,47,E-02	4,81,E-02	6577
16,18251002	3,12,E-02	5,75,E-02	6625
16,35023668	7,01,E-02	5,79,E-02	6673
16,51997083	7,27,E-02	5,67,E-02	6725
16,69023581	6,21,E-02	6,14,E-02	6773
16,86893186	7,38,E-02	5,82,E-02	6821
17,09608561	9,21,E-02	8,22,E-02	6884
17,29017129	8,09,E-02	6,56,E-02	6932
17,48473258	8,56,E-02	5,95,E-02	6976
17,69066758	9,24,E-02	6,28,E-02	7024
17,90275051	9,48,E-02	6,28,E-02	7076
18,14980973	1,04,E-01	8,41,E-02	7139
18,39097285	9,37,E-02	9,16,E-02	7207
18,61585241	9,68,E-02	7,14,E-02	7255
18,85192233	1,02,E-01	7,33,E-02	7303
19,07061179	9,81,E-02	6,26,E-02	7351
19,26675113	8,25,E-02	6,16,E-02	7403
19,49425046	1,04,E-01	6,37,E-02	7451
19,69054104	9,35,E-02	5,03,E-02	7499
19,80333616	3,18,E-02	5,54,E-02	7547
19,99015731	1,11,E-01	4,98,E-02	7595
20,11490812	4,03,E-02	5,49,E-02	7643
20,22136792	3,49,E-02	5,03,E-02	7691
20,35239681	3,41,E-02	7,19,E-02	7758
20,45544266	2,98,E-02	5,10,E-02	7802
20,56198159	3,26,E-02	5,13,E-02	7850
20,6635615	3,05,E-02	4,81,E-02	7898
20,77023447	3,24,E-02	5,23,E-02	7946
20,87661877	3,00,E-02	5,28,E-02	7994
20,97617631	3,05,E-02	4,78,E-02	8042
21,07851114	3,39,E-02	4,77,E-02	8090
21,20090181	3,29,E-02	6,40,E-02	8155
21,32524411	4,14,E-02	5,96,E-02	8203
21,44062651	3,68,E-02	5,10,E-02	8255
21,54908967	3,19,E-02	5,38,E-02	8299
21,6759346	4,41,E-02	5,46,E-02	8347
21,79235459	3,38,E-02	5,58,E-02	8395
21,90837126	3,84,E-02	5,10,E-02	8443
22,01187192	3,25,E-02	4,67,E-02	8491
22,13459462	3,12,E-02	6,76,E-02	8539
22,26305778	2,97,E-02	7,03,E-02	8591
22,37405408	3,44,E-02	4,83,E-02	8636
22,48005349	3,08,E-02	5,29,E-02	8684
22,60263676	4,70,E-02	5,07,E-02	8732
22,75177014	5,77,E-02	6,50,E-02	8780
22,95272686	7,99,E-02	7,08,E-02	8828
23,13792615	7,75,E-02	5,91,E-02	8876
23,27192064	4,50,E-02	5,58,E-02	8924
23,37932113	3,42,E-02	5,06,E-02	8976
23,48701251	3,21,E-02	5,13,E-02	9028
23,60697761	3,29,E-02	6,52,E-02	9092
23,73198167	4,17,E-02	5,95,E-02	9140
23,8791584	5,38,E-02	5,86,E-02	9192
24,02875584	5,07,E-02	5,98,E-02	9240
24,22122173	7,74,E-02	6,82,E-02	9288
24,42310939	7,65,E-02	6,71,E-02	9337
24,651661	1,02,E-01	6,71,E-02	9385
24,85680512	9,13,E-02	6,64,E-02	9433
25,05721816	7,68,E-02	7,31,E-02	9477
25,30283055	1,09,E-01	7,44,E-02	9525
25,49012044	7,30,E-02	6,24,E-02	9573
25,70115465	8,33,E-02	7,07,E-02	9621
25,898108	7,77,E-02	6,64,E-02	9669
26,10451993	8,42,E-02	7,08,E-02	9713
26,32060413	8,60,E-02	7,10,E-02	9765
26,53497144	9,72,E-02	6,31,E-02	9813
26,70600513	6,39,E-02	5,26,E-02	9854
26,81992424	3,22,E-02	5,46,E-02	9902
26,92113815	2,99,E-02	4,67,E-02	9950
27,02584598	3,04,E-02	5,09,E-02	10002
27,13134559	3,40,E-02	4,74,E-02	10050
27,24353181	3,57,E-02	5,41,E-02	10102
27,34921985	3,23,E-02	4,94,E-02	10150
27,46197515	3,38,E-02	4,94,E-02	10195
27,57320872	3,29,E-02	5,21,E-02	10239
27,68278149	3,30,E-02	5,01,E-02	10287
27,81077189	4,37,E-02	5,45,E-02	10335
27,91844014	3,14,E-02	4,81,E-02	10379
28,05004511	5,59,E-02	5,22,E-02	10423
28,15402155	3,12,E-02	4,87,E-02	10471
28,2674878	3,44,E-02	5,51,E-02	10519
28,39423407	4,44,E-02	5,46,E-02	10567
28,51297428	3,77,E-02	5,46,E-02	10615
28,62879908	3,97,E-02	4,86,E-02	10660
28,77948004	5,11,E-02	6,78,E-02	10712
28,92582294	4,93,E-02	6,43,E-02	10760
29,07212934	5,30,E-02	5,61,E-02	10808
29,25244022	7,86,E-02	6,22,E-02	10856
29,42018925	6,91,E-02	6,01,E-02	10904
29,58233496	5,95,E-02	5,82,E-02	10952
29,77170096	6,81,E-02	8,03,E-02	11015
29,93273671	6,01,E-02	5,82,E-02	11063
30,10243122	6,22,E-02	6,37,E-02	11112
30,26406905	6,66,E-02	5,67,E-02	11160
30,41552031	5,48,E-02	5,53,E-02	11212
30,56704603	5,26,E-02	5,96,E-02	11260
30,71380826	5,07,E-02	6,17,E-02	11308
30,82878545	3,48,E-02	5,15,E-02	11356
30,94207606	3,81,E-02	4,99,E-02	11404
31,05115458	3,04,E-02	5,27,E-02	11452
31,16171792	3,59,E-02	4,84,E-02	11504
31,28763551	4,18,E-02	5,25,E-02	11552
31,43542003	4,65,E-02	7,14,E-02	11600
31,57861229	4,40,E-02	6,26,E-02	11648
31,70439131	3,82,E-02	5,50,E-02	11700
31,82768966	3,87,E-02	5,51,E-02	11748
31,95331286	4,01,E-02	5,45,E-02	11792
32,09663206	3,99,E-02	7,29,E-02	11852
32,22815569	4,51,E-02	5,32,E-02	11904
32,37145269	5,19,E-02	5,64,E-02	11952
32,52779371	4,98,E-02	7,20,E-02	12000
32,6657211	4,59,E-02	5,67,E-02	12048
32,82674066	6,37,E-02	6,02,E-02	12096
32,98831718	6,59,E-02	5,82,E-02	12144
33,13345258	5,11,E-02	5,67,E-02	12188
33,3004851	6,23,E-02	6,15,E-02	12236
33,47377981	6,46,E-02	6,41,E-02	12280
33,65893868	7,60,E-02	6,21,E-02	12332
33,84343545	7,53,E-02	6,48,E-02	12377
34,03174431	7,99,E-02	5,87,E-02	12422
34,24043709	9,79,E-02	5,97,E-02	12470
34,41769082	6,86,E-02	5,68,E-02	12518
34,59436109	7,39,E-02	5,78,E-02	12559
34,82820493	1,05,E-01	8,17,E-02	12607
35,08402863	1,11,E-01	7,39,E-02	12655
35,31080344	9,21,E-02	7,33,E-02	12700
35,54694883	9,99,E-02	6,98,E-02	12748
35,76006095	9,11,E-02	6,54,E-02	12796
35,97771175	9,78,E-02	6,61,E-02	12841
36,20108712	1,05,E-01	6,36,E-02	12889
36,43566852	9,56,E-02	7,62,E-02	12937
36,86103118	3,04,E-01	6,47,E-02	12981
37,07588191	9,58,E-02	6,12,E-02	13022
37,27380808	7,88,E-02	6,97,E-02	13070
37,49095909	9,29,E-02	6,28,E-02	13119
37,69828478	8,75,E-02	6,64,E-02	13167
37,90628703	8,44,E-02	6,83,E-02	13215
38,12417368	8,44,E-02	7,66,E-02	13263
38,32598073	7,95,E-02	6,41,E-02	13304
38,55648907	9,41,E-02	7,25,E-02	13352
38,72458642	5,83,E-02	5,02,E-02	13396
38,83743608	3,30,E-02	5,47,E-02	13440
38,95293133	3,51,E-02	5,09,E-02	13484
39,07869543	3,97,E-02	5,59,E-02	13536
39,19282476	3,37,E-02	5,25,E-02	13584
39,30524372	3,54,E-02	4,96,E-02	13632
39,43114846	4,61,E-02	5,07,E-02	13680
