Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Initial execution	17,18632535	47757	
0,590301152	0,095535372	0,077156512	47850				
0,738593595	0,037302349	0,073390661	47913				
0,885189627	0,031405832	0,076906397	47976				
1,026026295	0,031506983	0,071607344	48032				
1,170846564	0,032996922	0,073362946	48089				
1,299146639	0,035136731	0,05522416	48130				
1,442445281	0,033722453	0,072045844	48190				
1,576981748	0,03878045	0,058416744	48235				
1,733239783	0,03833988	0,076884577	48296				
1,85787295	0,036495038	0,048036268	48333				
2,043162821	0,042193584	0,073564456	48393				
2,189207127	0,032602419	0,075374095	48452				
2,338475311	0,03629393	0,073326323	48512				
2,464505489	0,031591441	0,056444771	48557				
2,614036223	0,032335863	0,079997656	48614				
2,758863181	0,032459513	0,074024954	48669				
2,88937182	0,035020425	0,055936324	48709				
3,052654011	0,041033435	0,075633327	48772				
3,196019677	0,032449758	0,071693324	48828				
3,327130248	0,035189666	0,056909552	48869				
3,47534369	0,032517346	0,076369229	48924				
3,634825764	0,04777794	0,073954824	48980				
3,784833319	0,036476023	0,07487743	49037				
3,913982019	0,037193576	0,054132927	49078				
4,070870429	0,033303872	0,075023053	49137				
4,199050813	0,031655955	0,057780231	49181				
4,328682621	0,031199271	0,05897914	49229				
4,454584281	0,031875762	0,056224147	49273				
4,578126788	0,032515641	0,053896393	49314				
4,722603288	0,032632905	0,072002623	49374				
4,866130489	0,031699964	0,070943191	49433				
5,015982581	0,031143167	0,075562903	49492				
5,159363553	0,035118632	0,068817816	49548				
5,28449766	0,033643935	0,051291165	49593				
5,41561088	0,036576163	0,056487682	49634				
5,540450651	0,031319553	0,056308453	49675				
5,665418616	0,031859321	0,05633645	49719				
5,788875374	0,032372642	0,053727234	49763				
5,916063513	0,03152935	0,054950376	49808				
6,038457324	0,030772513	0,053711053	49849				
6,15979318	0,031708723	0,0514392	49893				
6,285195544	0,032080262	0,052109308	49934				
6,411520668	0,031506819	0,056689419	49979				
6,532882802	0,031451097	0,052568162	50020				
6,655883022	0,031461358	0,053635459	50060				
6,784514152	0,037369152	0,053084173	50101				
6,918910921	0,040607474	0,055894695	50142				
7,043722635	0,031851044	0,051121176	50179				
7,166376908	0,031961889	0,051858824	50220				
7,328928463	0,058080491	0,060144881	50264				
7,467366788	0,03474121	0,06156063	50309				
7,701480657	0,101562019	0,069884997	50353				
7,930419535	0,08846383	0,066446713	50394				
8,163291932	0,093234739	0,078395051	50435				
8,44213839	0,122277629	0,064737039	50476				
8,66766228	0,091607287	0,069999187	50517				
8,900845854	0,097466524	0,068927339	50561				
9,137928549	0,109672081	0,064244505	50602				
9,345607513	0,076223633	0,066426912	50643				
9,570397089	0,102397401	0,064933275	50683				
9,783643528	0,087143988	0,063316347	50727				
10,0309438	0,099552489	0,065715815	50768				
10,26048098	0,093390667	0,068697871	50812				
10,48742709	0,09268046	0,067082328	50860				
10,68287616	0,07093132	0,063248452	50901				
10,94397966	0,093857134	0,086085405	50960				
11,15703737	0,084505499	0,063777222	51008				
11,41317576	0,11828186	0,068849405	51052				
11,6203553	0,076971574	0,0667489	51092				
11,88710751	0,099467063	0,071408144	51136				
12,09076908	0,081134603	0,061122344	51184				
12,28262621	0,073440899	0,062838143	51225				
12,49704004	0,08593586	0,062918591	51269				
12,73422374	0,112205908	0,063220265	51314				
12,96391782	0,098958221	0,067517167	51355				
13,21815531	0,096311107	0,093028381	51415				
13,47145026	0,099628146	0,074150236	51459				
13,71547084	0,11012043	0,070190993	51499				
13,95835115	0,110982295	0,063731708	51540				
14,23569712	0,12624136	0,074083764	51581				
14,45900884	0,090312295	0,062623205	51621				
14,65929954	0,077526261	0,060477402	51662				
14,89136974	0,107009099	0,064662354	51703				
15,10954622	0,087031677	0,063561825	51744				
15,3319921	0,075638971	0,086056548	51800				
15,55456737	0,099724876	0,059786783	51841				
15,77876359	0,097471001	0,064132093	51886				
16,00198726	0,088798426	0,066067998	51927				
16,21690162	0,087581745	0,065017216	51971				
16,44720956	0,107925903	0,062485744	52016				
16,67680573	0,101234934	0,065668312	52064				
16,88487659	0,075964094	0,072739	52105				
17,09029499	0,078623512	0,063678063	52145				
17,28482706	0,074822025	0,061561892	52186				
17,48510616	0,078483467	0,061538896	52227				
17,71929593	0,103462164	0,066017406	52264				
17,97180242	0,099748164	0,069477189	52308				
18,18462062	0,075674522	0,064266994	52352				
18,39507682	0,084677318	0,064373134	52392				
18,62507148	0,0938335	0,069737216	52437				
18,89044254	0,131839749	0,064546175	52477				
19,09424817	0,072538725	0,073861732	52521				
19,30936813	0,080962455	0,077399577	52562				
19,51919004	0,081523609	0,068535372	52603				
19,72681814	0,077958893	0,066658963	52644				
19,93686558	0,083655887	0,064671306	52680				
20,15502098	0,092168151	0,063814376	52728				
20,35472497	0,070791323	0,069341631	52769				
20,55577006	0,071793535	0,068349667	52813				
20,76984363	0,081526669	0,062884093	52857				
20,9744061	0,076260788	0,068202863	52905				
21,32737874	0,219759872	0,068450589	52945				
21,58459046	0,110332743	0,070558314	52985				
21,81699804	0,096136554	0,067677806	53029				
22,05675039	0,0983289	0,071435359	53074				
22,28426779	0,088160091	0,061637554	53115				
22,49722382	0,077914111	0,075585852	53160				
22,69653515	0,073912429	0,064694369	53201				
22,90595853	0,08367575	0,064707896	53242				
23,1179917	0,087446425	0,063205226	53286				
23,33729535	0,089649592	0,071036547	53327				
23,55317454	0,089569444	0,064394695	53371				
23,77396334	0,096345001	0,059629952	53412				
24,0112659	0,105204818	0,065832359	53460				
24,24079334	0,093664046	0,067009377	53504				
24,4428031	0,074590185	0,065174091	53549				
24,64660311	0,083535924	0,059804113	53597				
24,87679623	0,101101864	0,062553696	53637				
25,08377112	0,082517562	0,060967891	53678				
25,30576546	0,092536748	0,068004165	53722				
25,50001786	0,072596883	0,063035506	53767				
25,7175974	0,094954329	0,062659523	53808				
25,91766808	0,073206256	0,064181781	53852				
26,16737177	0,118123841	0,061345664	53897				
26,43747719	0,124128178	0,06765304	53945				
26,69750756	0,11380696	0,066459655	53989				
26,94004642	0,101934481	0,072517341	54033				
27,1891715	0,107648784	0,070077288	54070				
27,42151755	0,090937555	0,060909127	54114				
27,63797554	0,076262879	0,065898654	54155				
27,86745164	0,098135528	0,072094785	54195				
28,11913713	0,109214501	0,067653718	54239				
28,37686196	0,100504056	0,073521499	54283				
28,61712842	0,08438274	0,066510087	54327				
28,85849621	0,092636997	0,071349241	54371				
29,09174858	0,103864229	0,065407272	54415				
29,2927805	0,077309002	0,062439789	54451				
29,50068119	0,077487998	0,06695921	54492				
29,72387864	0,082423217	0,063508507	54536				
29,94123792	0,086226826	0,069887921	54576				
30,18924437	0,103678963	0,066502973	54621				
30,4132687	0,07919925	0,065905345	54666				
30,60683829	0,070756659	0,063308166	54703				
30,80653688	0,071842653	0,067659125	54744				
31,00791838	0,076918501	0,064492821	54784				
31,21535573	0,07566983	0,068674881	54828				
31,44552997	0,102441835	0,064532485	54872				
31,65322937	0,079981981	0,065979141	54913				
31,87901961	0,101751701	0,062510347	54954				
32,08173118	0,077840177	0,064477075	54995				
32,28400316	0,074998299	0,065707128	55036				
32,48371216	0,070684528	0,067789135	55081				
32,70797238	0,090465502	0,063799031	55122				
32,91534949	0,077648721	0,067787023	55166				
33,12584603	0,081409081	0,063990825	55210				
33,32576051	0,073779338	0,062468467	55254				
33,53107032	0,075691771	0,067411278	55295				
33,75086051	0,086248592	0,067591312	55332				
33,9542477	0,080010559	0,064062099	55376				
34,16535684	0,076797657	0,0645986	55424				
34,3699025	0,07470211	0,065642646	55465				
34,57240889	0,072293799	0,065827393	55506				
34,77559273	0,075766121	0,065448427	55546				
34,98408178	0,083326786	0,065706429	55587				
35,1860175	0,074268426	0,067207256	55624				
35,39301806	0,073047026	0,064960995	55661				
35,6103379	0,078808072	0,070695405	55706				
35,88133032	0,119801466	0,065484948	55751				
36,15961508	0,127931425	0,070315149	55792				
36,44557896	0,11653033	0,077473191	55832				
36,65705613	0,087942638	0,063389509	55876				
36,85575385	0,071803169	0,065138651	55916				
37,06889258	0,076956277	0,072793399	55961				
37,2809607	0,083292882	0,067184502	56002				
37,53030417	0,0957956	0,071899161	56043				
37,74136803	0,07577627	0,066857439	56084				
37,94561209	0,073307906	0,068999663	56128				
38,15580614	0,078531571	0,066574682	56169				
38,381831	0,08498433	0,080442805	56217				
38,62730365	0,099780853	0,067098109	56257				
38,82893971	0,072731635	0,065881426	56305				
39,04278906	0,085768102	0,065201268	56346				
39,2800385	0,103511806	0,066469654	56387				
39,51459455	0,092111771	0,074751107	56431				
39,79980844	0,141443644	0,072068002	56476				
40,05477083	0,108201792	0,073500946	56512				
40,33652716	0,127521802	0,067835195	56553				
40,61029928	0,108288421	0,065511603	56594				
40,85928104	0,096690993	0,070285601	56639				
41,12650431	0,126642549	0,066770317	56680				
41,34111879	0,084903742	0,065993434	56721				
41,5388124	0,073098422	0,062605821	56762				
41,73940433	0,075351637	0,064260455	56803				
41,94874165	0,085517784	0,063958206	56851				
42,17121124	0,078794262	0,07286277	56896				
42,37313287	0,071822208	0,068796579	56940				
42,57194252	0,070818337	0,06717418	56984				
42,78282793	0,083919718	0,064688927	57021				
42,99481756	0,084673086	0,063538785	57062				
43,19200687	0,073315831	0,0584401	57099				
43,39654468	0,075144108	0,066480717	57140				
43,61020398	0,087329075	0,064488653	57181				
43,82393106	0,081527959	0,065389143	57222				
44,02521893	0,075786908	0,062132656	57263				
44,23911811	0,077295625	0,070157666	57307				
44,44653473	0,075971122	0,066012884	57355				
44,67574292	0,090929079	0,071012082	57396				
44,88504968	0,086189088	0,061675413	57437				
45,08827511	0,076803844	0,067385562	57474				
45,30882737	0,074336401	0,06794267	57515				
45,51016956	0,076549646	0,065791957	57555				
45,71361274	0,071179496	0,070414671	57599				
46,05046012	0,214066181	0,063955144	57640				
46,26288245	0,086072384	0,066483756	57680				
46,46239021	0,070852083	0,064630526	57728				
46,66396253	0,074387516	0,063818127	57773				
46,87528248	0,086643784	0,063818775	57818				
47,06914447	0,071628158	0,063151447	57863				
47,2819824	0,085004481	0,066387025	57903				
47,50374324	0,087221557	0,06395519	57944				
47,71483303	0,080644746	0,06390145	57992				
47,92547751	0,088263852	0,061879188	58037				
48,15042602	0,084372005	0,075984918	58082				
48,3550327	0,079296524	0,064292939	58126				
48,56994644	0,09188859	0,059242292	58167				
48,76671209	0,071718915	0,064187997	58211				
48,96866594	0,073682359	0,06878591	58251				
49,17696323	0,082142176	0,065384066	58295				
49,38945734	0,078000913	0,071587605	58339				
49,59724785	0,072661981	0,067442281	58380				
49,79611964	0,075815891	0,063377773	58421				
50,01756015	0,093057643	0,067006499	58465				
50,22025256	0,077359192	0,064023659	58505				
50,42193817	0,078991472	0,06230516	58542				
50,6757955	0,127016711	0,062402307	58583				
