Parsing time	Functional matching time	Corpus time	Semantic matching time	Syntactic matching time	Ordering time	QoS matching time	SP matching time	Total matching time
0,000906835	1,963870544	0,014320171	0,00292084	1,900935843	0,000291804	0,010670044	0,005433901	1,999891401
0,000442837	1,968651507	0,013641187	0,00312656	1,906668066	0,000232865	0,007069994	0,001874382	1,986338282
0,000348875	1,949450578	0,015243237	0,003152231	1,885527575	0,000130216	0,002971499	0,001596238	1,961161523
0,000486717	1,955364948	0,014540082	0,00311517	1,891782357	0,000393635	0,015452603	0,003065527	1,990588686
0,000540521	1,965639349	0,014715324	0,003153749	1,901542394	0,000408448	0,016080768	0,006691492	2,005297438
0,000443394	1,951006981	0,014159008	0,003131012	1,888333117	0,000413197	0,015526838	0,006606577	1,997571932
0,000327982	1,981132388	0,015172902	0,002981702	1,917596916	0,000155912	0,003816972	0,002202368	1,995833991
0,000425434	1,959045809	0,014147146	0,003075005	1,896479513	0,00011428	0,002379021	0,001365745	1,968836468
0,000327024	1,95561182	0,014758268	0,00303772	1,8925333	0,000255217	0,009102757	0,001598824	1,974850008
0,000323921	1,968840489	0,015111413	0,003170193	1,904712855	0,00043812	0,017240941	0,005075946	2,010095332
0,000362321	1,954705439	0,015293917	0,002980331	1,890823111	0,000129249	0,002516132	0,001541285	1,965412929
0,000335835	1,990212702	0,015141142	0,003075499	1,925932933	0,000237802	0,007829449	0,004504966	2,017119717
0,000353286	1,918886109	0,014996841	0,0030944	1,855703905	0,000290541	0,010318391	0,002686813	1,942762787
0,000332063	1,935919579	0,014193393	0,003160215	1,872854164	0,000186579	0,005399912	0,001321022	1,94660911
0,00036336	1,949237434	0,014421122	0,003087601	1,886510069	0,00018304	0,004983913	0,002784199	1,966578297
0,000374028	1,958440527	0,015265839	0,003133238	1,894136784	0,000390837	0,0156962	0,005151801	1,995425381
0,000320651	1,965789048	0,016017768	0,003061139	1,90022465	0,000219823	0,00836419	0,00392266	1,991035312
0,000451802	1,95857011	0,014468866	0,003250773	1,895071266	0,000191218	0,005697405	0,001099328	1,972552149
0,000348229	1,961640409	0,015216537	0,003220864	1,897761399	0,000222572	0,007090867	0,003150701	1,983195778
0,000347918	1,98149824	0,015935712	0,003167276	1,915928233	0,000116388	0,002371947	0,001557859	1,991944299
0,000454797	1,968778863	0,014310826	0,003078395	1,905676739	0,00012984	0,002901889	0,00171586	1,980534811
0,000362268	1,95713503	0,01542604	0,003473961	1,892305898	0,000193817	0,005446774	0,002515511	1,97615297
0,000329892	1,98244609	0,067883332	0,002966354	1,867097464	0,000122198	0,00238189	0,001507097	1,992590049
0,000333531	1,940799343	0,014964628	0,003045966	1,877768078	0,000239727	0,008678727	0,004170658	1,966316144
0,000419872	1,951175056	0,013774339	0,003081173	1,888395347	0,000440417	0,015661919	0,000853287	1,976401144
0,000338881	1,938280449	0,015418833	0,003058031	1,874650432	0,000220346	0,007128393	0,003876427	1,960441161
0,000344045	1,95667314	0,015208674	0,003043662	1,893575607	0,000121429	0,002693699	0,001583315	1,967710476
0,000393331	1,950783397	0,015015198	0,003101593	1,887793613	0,000129825	0,002757056	0,000947357	1,959740761
0,000454565	1,949332231	0,013767132	0,003140497	1,887100154	0,00027131	0,008292545	0,004336527	1,976387444
0,00032921	1,968887874	0,015741135	0,003187335	1,904304415	0,000395663	0,015722428	0,00786089	2,017727969
0,000351912	1,957458114	0,01517756	0,00299558	1,894021793	0,000307921	0,011510188	0,006175876	1,98815454
0,000350163	1,957908123	0,015441214	0,003004607	1,893489868	0,000125691	0,002729901	0,000854195	1,967010395
0,000339918	1,942009515	0,014724528	0,003042113	1,879153286	0,000197482	0,006550121	0,002175981	1,959361162
0,000516988	1,933950599	0,014824591	0,003139465	1,870976872	0,00012775	0,002762425	0,001453095	1,945811378
0,000448992	1,944044902	0,013771218	0,003255574	1,882054791	0,000125731	0,002985015	0,001610737	1,956088803
0,000344565	1,951362214	0,015420221	0,003129459	1,887629195	0,000279003	0,007815588	0,004098874	1,978032459
0,000479714	1,986102417	0,013474181	0,003141359	1,923503849	0,000289888	0,01054422	0,005084164	2,020739653
0,000344356	1,971389703	0,015283435	0,003076304	1,906921108	0,000608901	0,027558461	0,013559948	2,057314743
0,000342609	1,939232175	0,015336194	0,002992464	1,87524338	0,000301292	0,010673432	0,005449387	1,974168084
0,000353721	1,956519487	0,017339938	0,003005084	1,889987791	0,000552518	0,02406393	0,005384566	2,010221115
0,000322347	1,964622521	0,015672798	0,00295933	1,899971318	0,000158013	0,004432501	0,00082841	1,974837527
0,000325783	1,963787965	0,015832526	0,003100033	1,898849444	0,000244606	0,007727087	0,003007344	1,986389143
0,000349497	1,955826491	0,015005889	0,003123499	1,892608569	0,000130212	0,002894268	0,000684406	1,962365279
0,000338963	1,945196451	0,015064315	0,003064829	1,881555532	0,000224999	0,007373376	0,004087411	1,971341324
0,000365873	1,966696036	0,01555093	0,002991393	1,902609777	0,000113685	0,002511558	0,001452063	1,977432935
0,000374861	1,959874071	0,015398951	0,003134343	1,893077045	0,000407683	0,016522001	0,002340489	1,991640806
0,000425508	1,980046737	0,015971168	0,003143911	1,915645316	0,000152006	0,003934292	0,002208323	1,99529929
0,00034799	1,978009444	0,015448898	0,003148116	1,913003529	0,000113878	0,00222324	0,00124298	1,987766787
0,000341306	1,961798797	0,015037072	0,003132396	1,897380098	0,000555263	0,02292236	0,011856213	2,022994486
0,000352578	1,948070824	0,01495653	0,00296836	1,885226387	0,000303508	0,008439913	0,001287979	1,967499041
0,000335599	1,955964073	0,01511504	0,003099391	1,892394259	0,000328358	0,011770097	0,006337881	1,996064056
0,000453611	1,943779878	0,013765036	0,003114488	1,882311107	0,000178625	0,005410051	0,00281371	1,962451931
0,000442489	1,956193565	0,01353933	0,003164881	1,894458372	0,000261605	0,007954136	0,004439143	1,985978996
0,00045071	1,970093658	0,014151902	0,003165124	1,907025569	0,000484697	0,01541316	0,00820725	2,023272208
0,000341091	1,93154135	0,014822961	0,002963809	1,868175184	0,000426526	0,017110312	0,006360698	1,972795534
0,000346644	2,004630967	0,01580437	0,003159269	1,939336974	0,000605406	0,024093062	0,011825937	2,066642006
0,0003389	1,966133407	0,01558384	0,003018866	1,901088659	0,000232217	0,006636334	0,004101324	1,991482327
0,000382298	1,945354246	0,015068056	0,003128047	1,881278564	0,00045687	0,018978831	0,009388533	2,000180666
0,000328774	1,950234203	0,015263967	0,003006074	1,886550737	0,000140209	0,002214661	0,00137502	1,959902135
0,000329451	1,94037148	0,015286831	0,003005673	1,873875355	0,000112608	0,002268857	0,001368406	1,949935304
0,000326859	1,951343586	0,015367056	0,003098	1,886455645	0,00039793	0,015285112	0,003316111	1,981843427
0,000438138	1,958165735	0,014146902	0,003157291	1,892531349	0,000107923	0,002009811	0,000867764	1,965982231
0,000337693	2,040640427	0,070135404	0,003005528	1,921113234	0,000171654	0,004786758	0,000957252	2,052009329
0,000340239	1,972367002	0,015284341	0,002987137	1,908545771	0,000176737	0,005152445	0,001325455	1,986369266
0,000348592	1,960174979	0,015620432	0,003087201	1,895627964	0,000315891	0,011121656	0,004261496	1,988401133
0,000357679	1,948200221	0,015248294	0,00298505	1,884346402	0,000157119	0,0043894	0,000678576	1,957155738
0,000334477	1,948384713	0,015913255	0,003077775	1,884222439	0,000278744	0,00970933	0,003803571	1,977160864
0,000345375	1,943786315	0,014948945	0,002967612	1,879362212	0,000320682	0,012354741	0,005897793	1,980940486
0,0003415	1,981095585	0,015106882	0,003023344	1,916636618	0,000557798	0,023523099	0,008584821	2,040918522
0,000332862	2,017251809	0,01607545	0,003118735	1,952480202	0,000250729	0,007502039	0,003924926	2,040926488
0,000381421	1,966066132	0,015258184	0,00297669	1,901491115	0,000165748	0,004566513	0,002349706	1,983179009
0,000336006	1,983359706	0,015640388	0,003008337	1,918802019	0,000127303	0,002303333	0,001438148	1,993301276
0,000333149	1,975602013	0,015714615	0,003021552	1,907115888	0,000284257	0,010743703	0,004416193	2,002097587
0,000355822	1,965711127	0,01543145	0,003028874	1,900953652	0,000295062	0,011234397	0,005001785	1,997565426
0,00035812	1,960935925	0,015202233	0,003009886	1,89696814	0,000532507	0,023464058	0,006463907	2,01165067
0,000481392	1,970878825	0,014172544	0,003123271	1,90776495	0,00011899	0,002465199	0,001461193	1,981261916
0,000344208	1,977577423	0,015149649	0,003156602	1,913257513	0,000209617	0,005753956	0,002505305	1,996322984
0,000379015	1,961137018	0,016439215	0,003084146	1,895802663	0,000263405	0,009047196	0,00364822	1,986719016
