Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Sensors	Total discovery time
12,45377768	0,980121085	0,123963231	1285	1	0,27844792
12,7322256	0,143067274	0,112785181	1380	2	0,330975959
13,06320155	0,1784749	0,129494916	1462	3	0,527125914
13,59032747	0,370998521	0,113583915	1545	4	0,378394987
13,96872246	0,209174738	0,129017292	1615	5	0,377572359
14,34629481	0,214721924	0,121469939	1688	6	0,387744432
14,73403925	0,213311246	0,13212411	1762	7	0,378501613
15,11254086	0,217475672	0,117823786	1832	8	0,399162881
15,51170374	0,218182835	0,138576214	1902	9	0,380297371
15,89200111	0,21235042	0,125826496	1975	10	0,385164328
16,27716544	0,21746058	0,125023489	2049	11	0,367130067
16,64429551	0,233778975	0,092069342	2101	12	0,377322346
17,02161785	0,21255893	0,121935885	2156	13	0,375958934
17,39757679	0,222778181	0,113772914	2225	14	0,402625393
17,80020218	0,220789689	0,129317024	2293	15	0,377315346
18,17751752	0,207675959	0,126800728	2363	16	0,913708881
19,09122641	0,745335351	0,125268831	2427	17	0,358971328
19,45019773	0,201648864	0,117630665	2495	18	0,375861071
19,8260588	0,214805135	0,114645876	2558	19	0,38272877
20,20878757	0,219416133	0,118612948	2625	20	0,382015529
20,5908031	0,211816955	0,128625832	2692	21	0,377646689
20,96844979	0,212113549	0,122755872	2761	22	0,37745319
21,34590298	0,218528776	0,115448201	2829	23	0,336603606
21,68250659	0,173113045	0,128645471	2893	24	0,367819299
22,05032589	0,235800428	0,095802024	2941	25	0,402225827
22,45255172	0,210180843	0,123731819	3009	26	0,380083242
22,83263496	0,216384355	0,119618103	3077	27	0,33517912
23,16781408	0,20646228	0,087353188	3129	28	0,378156331
23,54597041	0,209666929	0,123071953	3193	29	0,37385228
23,91982269	0,20669148	0,124313181	3261	30	0,396862661
24,31668535	0,223843275	0,129300008	3325	31	0,34505061
24,66173596	0,207398497	0,091970023	3377	32	0,378344005
25,04007996	0,211786739	0,123171341	3444	33	0,364363523
25,40444349	0,202679811	0,120736464	3512	34	0,369425928
25,77386941	0,208252217	0,119153946	3579	35	0,408747972
26,18261739	0,248570572	0,117236831	3646	36	0,37951105
26,56212844	0,203055841	0,132557145	3709	37	0,362567619
26,92469606	0,204400138	0,095221072	3757	38	0,370728089
27,29542415	0,199912617	0,126751486	3824	39	0,383473239
27,67889738	0,20547249	0,133132342	3892	40	0,355627508
28,03452489	0,207157115	0,094358168	3944	41	0,370176133
28,40470103	0,205610742	0,123317248	4011	42	0,370372615
28,77507364	0,202266229	0,1248846	4078	43	0,333815898
29,10888954	0,198792899	0,089696565	4130	44	0,367467342
29,47635688	0,229431627	0,094616639	4182	45	0,372915082
29,84927196	0,200328326	0,130545171	4245	46	0,426022125
30,27529409	0,252839643	0,124832702	4314	47	0,34880602
30,62410011	0,204212377	0,100357818	4366	48	0,374264861
30,99836497	0,201189547	0,129647895	4414	49	0,371268482
31,36963345	0,203557709	0,123169699	4473	50	0,397956039
31,76758949	0,200127608	0,153624086	4536	51	0,351910194
32,11949968	0,203735276	0,098847934	4584	52	0,386810812
32,5063105	0,203660451	0,135398832	4651	53	0,352416802
32,8587273	0,202854875	0,103964796	4703	54	0,339900292
33,19862759	0,198364012	0,09660054	4751	55	0,384200708
33,5828283	0,203467479	0,130598062	4818	56	0,346223491
33,92905179	0,201534515	0,099057388	4866	57	0,425669026
34,35472081	0,24618325	0,133508347	4934	58	0,409630888
34,7643517	0,227408347	0,138808217	4998	59	0,359071635
35,12342334	0,210664911	0,102875032	5050	60	0,420466698
35,54389004	0,20184341	0,116228343	5118	61	0,368913059
35,91280309	0,204876469	0,119381737	5182	62	0,381172658
36,29397575	0,204653774	0,131468467	5243	63	0,384005118
36,67798087	0,212953591	0,127073558	5306	64	0,397965567
37,07594644	0,201229201	0,15088229	5373	65	0,367077614
37,44302405	0,19937185	0,122516565	5436	66	0,385180816
37,82820487	0,205692086	0,134376049	5496	67	0,389226795
38,21743166	0,205167465	0,138619015	5559	68	0,42987681
38,64730847	0,245974224	0,138096427	5622	69	0,387108335
39,03441681	0,202335189	0,135648316	5689	70	0,401471692
39,4358885	0,201235253	0,155705271	5741	71	0,366782322
39,80267082	0,201599256	0,120349919	5805	72	0,372294301
40,17496512	0,19645539	0,129342805	5868	73	0,383919047
40,55888417	0,214940769	0,121382593	5935	74	0,347178515
40,90606268	0,20493051	0,096195288	5979	75	0,35863159
41,26469427	0,203180034	0,105759361	6031	76	0,336680949
41,60137522	0,160926487	0,134398102	6098	77	0,341330893
